Cycle     | A| B| C| D| E| F| G| H|IN|OT|CNZ| SP | PC |
0000000270|44  1  0  0  0  0  0  0| 0 43|000|0000 0005|
0000000271|44  1  0  0  0  0  0  0| 0 44|000|0000 0006|
0000000274|45  1  0  0  0  0  0  0| 0 44|000|0000 0005|
0000000275|45  1  0  0  0  0  0  0| 0 45|000|0000 0006|
0000000278|46  1  0  0  0  0  0  0| 0 45|000|0000 0005|
0000000279|46  1  0  0  0  0  0  0| 0 46|000|0000 0006|
0000000282|47  1  0  0  0  0  0  0| 0 46|000|0000 0005|
0000000283|47  1  0  0  0  0  0  0| 0 47|000|0000 0006|
0000000286|48  1  0  0  0  0  0  0| 0 47|000|0000 0005|
0000000287|48  1  0  0  0  0  0  0| 0 48|000|0000 0006|
0000000290|49  1  0  0  0  0  0  0| 0 48|000|0000 0005|
0000000291|49  1  0  0  0  0  0  0| 0 49|000|0000 0006|
0000000294|4a  1  0  0  0  0  0  0| 0 49|000|0000 0005|
0000000295|4a  1  0  0  0  0  0  0| 0 4a|000|0000 0006|
0000000298|4b  1  0  0  0  0  0  0| 0 4a|000|0000 0005|
0000000299|4b  1  0  0  0  0  0  0| 0 4b|000|0000 0006|
0000000302|4c  1  0  0  0  0  0  0| 0 4b|000|0000 0005|
0000000303|4c  1  0  0  0  0  0  0| 0 4c|000|0000 0006|
0000000306|4d  1  0  0  0  0  0  0| 0 4c|000|0000 0005|
0000000307|4d  1  0  0  0  0  0  0| 0 4d|000|0000 0006|
0000000310|4e  1  0  0  0  0  0  0| 0 4d|000|0000 0005|
0000000311|4e  1  0  0  0  0  0  0| 0 4e|000|0000 0006|
0000000314|4f  1  0  0  0  0  0  0| 0 4e|000|0000 0005|
0000000315|4f  1  0  0  0  0  0  0| 0 4f|000|0000 0006|
0000000318|50  1  0  0  0  0  0  0| 0 4f|000|0000 0005|
0000000319|50  1  0  0  0  0  0  0| 0 50|000|0000 0006|
0000000322|51  1  0  0  0  0  0  0| 0 50|000|0000 0005|
0000000323|51  1  0  0  0  0  0  0| 0 51|000|0000 0006|
0000000326|52  1  0  0  0  0  0  0| 0 51|000|0000 0005|
0000000327|52  1  0  0  0  0  0  0| 0 52|000|0000 0006|
0000000330|53  1  0  0  0  0  0  0| 0 52|000|0000 0005|
0000000331|53  1  0  0  0  0  0  0| 0 53|000|0000 0006|
0000000334|54  1  0  0  0  0  0  0| 0 53|000|0000 0005|
0000000335|54  1  0  0  0  0  0  0| 0 54|000|0000 0006|
0000000338|55  1  0  0  0  0  0  0| 0 54|000|0000 0005|
0000000339|55  1  0  0  0  0  0  0| 0 55|000|0000 0006|
0000000342|56  1  0  0  0  0  0  0| 0 55|000|0000 0005|
0000000343|56  1  0  0  0  0  0  0| 0 56|000|0000 0006|
0000000346|57  1  0  0  0  0  0  0| 0 56|000|0000 0005|
0000000347|57  1  0  0  0  0  0  0| 0 57|000|0000 0006|
0000000350|58  1  0  0  0  0  0  0| 0 57|000|0000 0005|
0000000351|58  1  0  0  0  0  0  0| 0 58|000|0000 0006|
0000000354|59  1  0  0  0  0  0  0| 0 58|000|0000 0005|
0000000355|59  1  0  0  0  0  0  0| 0 59|000|0000 0006|
0000000358|5a  1  0  0  0  0  0  0| 0 59|000|0000 0005|
0000000359|5a  1  0  0  0  0  0  0| 0 5a|000|0000 0006|
0000000362|5b  1  0  0  0  0  0  0| 0 5a|000|0000 0005|
0000000363|5b  1  0  0  0  0  0  0| 0 5b|000|0000 0006|
0000000366|5c  1  0  0  0  0  0  0| 0 5b|000|0000 0005|
0000000367|5c  1  0  0  0  0  0  0| 0 5c|000|0000 0006|
0000000370|5d  1  0  0  0  0  0  0| 0 5c|000|0000 0005|
0000000371|5d  1  0  0  0  0  0  0| 0 5d|000|0000 0006|
0000000374|5e  1  0  0  0  0  0  0| 0 5d|000|0000 0005|
0000000375|5e  1  0  0  0  0  0  0| 0 5e|000|0000 0006|
0000000378|5f  1  0  0  0  0  0  0| 0 5e|000|0000 0005|
0000000379|5f  1  0  0  0  0  0  0| 0 5f|000|0000 0006|
0000000382|60  1  0  0  0  0  0  0| 0 5f|000|0000 0005|
0000000383|60  1  0  0  0  0  0  0| 0 60|000|0000 0006|
0000000386|61  1  0  0  0  0  0  0| 0 60|000|0000 0005|
0000000387|61  1  0  0  0  0  0  0| 0 61|000|0000 0006|
0000000390|62  1  0  0  0  0  0  0| 0 61|000|0000 0005|
0000000391|62  1  0  0  0  0  0  0| 0 62|000|0000 0006|
0000000394|63  1  0  0  0  0  0  0| 0 62|000|0000 0005|
0000000395|63  1  0  0  0  0  0  0| 0 63|000|0000 0006|
0000000398|64  1  0  0  0  0  0  0| 0 63|000|0000 0005|
0000000399|64  1  0  0  0  0  0  0| 0 64|000|0000 0006|
0000000402|65  1  0  0  0  0  0  0| 0 64|000|0000 0005|
0000000403|65  1  0  0  0  0  0  0| 0 65|000|0000 0006|
0000000406|66  1  0  0  0  0  0  0| 0 65|000|0000 0005|
0000000407|66  1  0  0  0  0  0  0| 0 66|000|0000 0006|
0000000410|67  1  0  0  0  0  0  0| 0 66|000|0000 0005|
0000000411|67  1  0  0  0  0  0  0| 0 67|000|0000 0006|
0000000414|68  1  0  0  0  0  0  0| 0 67|000|0000 0005|
0000000415|68  1  0  0  0  0  0  0| 0 68|000|0000 0006|
0000000418|69  1  0  0  0  0  0  0| 0 68|000|0000 0005|
0000000419|69  1  0  0  0  0  0  0| 0 69|000|0000 0006|
0000000422|6a  1  0  0  0  0  0  0| 0 69|000|0000 0005|
0000000423|6a  1  0  0  0  0  0  0| 0 6a|000|0000 0006|
0000000426|6b  1  0  0  0  0  0  0| 0 6a|000|0000 0005|
0000000427|6b  1  0  0  0  0  0  0| 0 6b|000|0000 0006|
0000000430|6c  1  0  0  0  0  0  0| 0 6b|000|0000 0005|
0000000431|6c  1  0  0  0  0  0  0| 0 6c|000|0000 0006|
0000000434|6d  1  0  0  0  0  0  0| 0 6c|000|0000 0005|
0000000435|6d  1  0  0  0  0  0  0| 0 6d|000|0000 0006|
0000000438|6e  1  0  0  0  0  0  0| 0 6d|000|0000 0005|
0000000439|6e  1  0  0  0  0  0  0| 0 6e|000|0000 0006|
0000000442|6f  1  0  0  0  0  0  0| 0 6e|000|0000 0005|
0000000443|6f  1  0  0  0  0  0  0| 0 6f|000|0000 0006|
0000000446|70  1  0  0  0  0  0  0| 0 6f|000|0000 0005|
0000000447|70  1  0  0  0  0  0  0| 0 70|000|0000 0006|
0000000450|71  1  0  0  0  0  0  0| 0 70|000|0000 0005|
0000000451|71  1  0  0  0  0  0  0| 0 71|000|0000 0006|
0000000454|72  1  0  0  0  0  0  0| 0 71|000|0000 0005|
0000000455|72  1  0  0  0  0  0  0| 0 72|000|0000 0006|
0000000458|73  1  0  0  0  0  0  0| 0 72|000|0000 0005|
